dataset,classifier,test_ds_score,revealed_pct,revealed_pct_actual,train_size,test_size,num_classes,type,num_dim,balanced,train_length
ECG200,TSF,0.88,30,31,100,100,2,ECG,1,False,30
ECG200,TSF,0.8200000000000001,10,10,100,100,2,ECG,1,False,10
ECG200,TSF,0.86,20,20,100,100,2,ECG,1,False,20
ECG200,ST,0.81,20,20,100,100,2,ECG,1,False,20
ECG200,ST,0.77,30,31,100,100,2,ECG,1,False,30
ECG200,ST,0.64,10,10,100,100,2,ECG,1,False,10
ECG200,ST,0.86,100,100,100,100,2,ECG,1,False,96
ECG200,CBoss,0.37,30,31,100,100,2,ECG,1,False,30
ECG200,CBoss,0.8300000000000001,100,100,100,100,2,ECG,1,False,96
ECG200,WEASEL,0.85,100,100,100,100,2,ECG,1,False,96
ECG200,WEASEL,0.58,10,10,100,100,2,ECG,1,False,10
ECG200,WEASEL,0.43,30,31,100,100,2,ECG,1,False,30
ECG200,WEASEL,0.45,20,20,100,100,2,ECG,1,False,20
ECG200,CBoss,0.37,10,10,100,100,2,ECG,1,False,10
ECG200,CBoss,0.39,20,20,100,100,2,ECG,1,False,20
ECG200,PForest,0.65,10,10,100,100,2,ECG,1,False,10
ECG200,PForest,0.49,30,31,100,100,2,ECG,1,False,30
ECG200,PForest,0.77,20,20,100,100,2,ECG,1,False,20
ECG200,PForest,0.9,100,100,100,100,2,ECG,1,False,96
ECG5000,TSF,0.9166666667000001,30,30,500,4500,5,ECG,1,False,42
ECG5000,TSF,0.926,10,10,500,4500,5,ECG,1,False,14
ECG5000,TSF,0.9364444444000001,100,100,500,4500,5,ECG,1,False,140
ECG5000,TSF,0.9231111111,20,20,500,4500,5,ECG,1,False,28
ECG5000,ST,0.9117777778,30,30,500,4500,5,ECG,1,False,42
ECG5000,ST,0.9388888889,100,100,500,4500,5,ECG,1,False,140
ECG5000,ST,0.7644444444,10,10,500,4500,5,ECG,1,False,14
ECG5000,ST,0.882,20,20,500,4500,5,ECG,1,False,28
ECG5000,CBoss,0.6128888889,20,20,500,4500,5,ECG,1,False,28
ECG5000,CBoss,0.9417777778,100,100,500,4500,5,ECG,1,False,140
ECG5000,CBoss,0.8295555556,30,30,500,4500,5,ECG,1,False,42
ECG5000,CBoss,0.3537777778,10,10,500,4500,5,ECG,1,False,14
ECG5000,WEASEL,0.9402222222000001,100,100,500,4500,5,ECG,1,False,140
ECG5000,WEASEL,0.7544444444,30,30,500,4500,5,ECG,1,False,42
ECG5000,WEASEL,0.8086666667,20,20,500,4500,5,ECG,1,False,28
ECG5000,WEASEL,0.5702222222000001,10,10,500,4500,5,ECG,1,False,14
ECG5000,PForest,0.6075555556000001,100,100,500,4500,5,ECG,1,False,140
ECG5000,PForest,0.5851111111,20,20,500,4500,5,ECG,1,False,28
ECG5000,PForest,0.59,10,10,500,4500,5,ECG,1,False,14
ECG5000,PForest,0.5837777778000001,30,30,500,4500,5,ECG,1,False,42
ECGFiveDays,TSF,0.6051103368,10,10,23,861,2,ECG,1,True,14
ECGFiveDays,TSF,0.9210220674,100,100,23,861,2,ECG,1,True,136
ECGFiveDays,TSF,0.6109175377,20,20,23,861,2,ECG,1,True,28
