dataset,CBoss_10,CBoss_100,CBoss_20,CBoss_30,PForest_10,PForest_100,PForest_20,PForest_30,ST_10,ST_100,ST_20,ST_30,TSF_10,TSF_100,TSF_20,TSF_30,WEASEL_10,WEASEL_100,WEASEL_20,WEASEL_30
ElectricDevices,0.4120088186,0.704318506,0.40409804180000003,0.5049928673,,,,,0.3802360265,0.3802360265,0.3650628972,0.2796005706,0.53624692,0.6855142005,0.5409155752,0.5863052782,0.6042017897,0.7682531449000001,0.5946051096,0.5811178835
Epilepsy,0.9710144928000001,1.0,1.0,1.0,,,,,0.731884058,0.9855072464,0.7898550725,0.884057971,0.9202898551,0.9710144928000001,0.9782608696,0.9782608696,0.9855072464,1.0,1.0,1.0
EthanolConcentration,0.2509505703,0.4106463878,0.2395437262,0.2509505703,,,,,0.3764258555,0.6083650190000001,0.36882129280000003,0.3498098859,0.4220532319,0.4220532319,0.42965779470000004,0.39923954370000003,0.26996197720000004,0.5627376426,0.2547528517,0.33460076050000004
EthanolLevel,0.276,0.448,0.256,0.274,,,,,0.328,0.358,0.376,0.34800000000000003,0.37,0.448,0.336,0.316,0.252,0.494,0.252,0.252
FaceDetection,,,,,,,,,,,,,,,,,0.5065266742,,0.5,0.5215664018
FingerMovements,0.45,0.5700000000000001,0.51,0.49,,,,,,,,,0.43,0.5,0.52,0.5,0.51,0.59,0.51,0.5
FordA,0.7340909091000001,0.7295454545000001,0.8409090909,0.8401515152,,,,,0.44166666670000004,0.5522727273,0.49924242420000003,0.5553030303000001,0.7196969697000001,0.8136363636,0.7431818182000001,0.7696969697,0.7992424242,0.9659090909,0.7962121212000001,0.9287878788
FordB,0.6765432099,0.6209876543,0.7283950617,0.7283950617,,,,,0.524691358,0.537037037,0.4703703704,0.5691358025000001,0.5962962963,0.6851851852,0.6098765432000001,0.6209876543,0.6395061728,0.8185185185,0.7604938272,0.6234567901
FreezerRegularTrain,0.5,0.9964912281,0.9764912281,0.9989473684000001,0.7080701754000001,0.9224561404,0.52,0.910877193,0.5059649123000001,0.9989473684000001,0.9519298246000001,0.9989473684000001,0.9694736842,0.9912280702,0.9985964912,0.9985964912,0.5,0.98,0.9385964912,0.74
FreezerSmallTrain,0.5014035088000001,0.9722807018,0.9540350877,0.9978947368000001,0.6056140351,0.7091228070000001,0.5421052632,0.7245614035,0.4873684211,0.9996491228000001,0.9235087719,0.9985964912,0.8863157895,0.8407017544000001,0.9835087719000001,0.9982456140000001,0.5,0.96,0.9066666667000001,0.6287719298000001
Fungi,0.0806451613,,0.0430107527,0.0376344086,0.0591397849,0.9139784946,0.1182795699,0.27956989250000003,,,,,0.1129032258,0.9462365591,0.2849462366,0.48387096770000004,0.0537634409,0.9569892473,0.0591397849,0.064516129
Ham,0.4857142857,0.6666666667000001,0.4952380952,0.4857142857,0.4952380952,0.7047619048,0.5238095238,0.4952380952,0.4857142857,0.7619047619,0.4857142857,0.5333333333,0.5904761905,0.7809523810000001,0.7523809524,0.7333333333000001,0.5142857143,0.6476190476,0.5142857143,0.4857142857
HandMovementDirection,0.2972972973,0.36486486490000003,0.20270270270000001,0.2702702703,0.20270270270000001,0.3783783784,0.2567567568,0.3513513514,,,,,0.2702702703,0.5540540541,0.3243243243,0.2837837838,0.24324324320000001,0.36486486490000003,0.20270270270000001,0.1756756757
Handwriting,0.0388235294,0.4658823529,0.057647058800000005,0.1435294118,,,,,0.0388235294,0.3611764706,0.0635294118,0.1058823529,0.1258823529,0.3105882353,0.22235294120000001,0.2729411765,0.04,0.30941176470000004,0.0458823529,0.0411764706
Heartbeat,0.7219512195000001,0.7219512195000001,0.7219512195000001,0.7268292683,,,,,,,,,0.7219512195000001,0.7317073171,0.7317073171,0.7365853659,0.712195122,0.7414634146,0.756097561,0.7414634146
HouseTwenty,0.4789915966,0.9747899160000001,0.7815126050000001,0.8655462185,0.7731092437,0.8991596639,0.7394957983,0.7226890756000001,0.6386554622,0.8403361345,0.7731092437,0.8403361345,0.8487394958000001,0.8151260504000001,0.9327731092,0.9075630252,0.8823529412000001,0.9663865546,0.9495798319000001,0.9327731092
InsectEPGRegularTrain,0.9718875502000001,1.0,0.9518072289,1.0,1.0,1.0,0.9959839357,1.0,0.3574297189,0.9879518072000001,0.3694779116,0.3734939759,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
InsectEPGSmallTrain,0.9156626506000001,1.0,1.0,0.9558232932,0.9959839357,1.0,0.9116465863000001,0.9879518072000001,0.3574297189,0.9718875502000001,0.36546184740000004,0.3694779116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
InsectWingbeatSound,0.0858585859,0.552020202,0.1666666667,0.3085858586,,,,,0.0853535354,0.6191919192,0.151010101,0.1808080808,0.4545454545,0.6171717172,0.5671717172,0.6186868687,0.1227272727,0.6368686869,0.30000000000000004,0.3656565657
ItalyPowerDemand,0.5014577259,0.8882410107,0.4878522838,0.8095238095,0.5422740525,0.9591836735,0.6987366375,0.5655976676000001,0.47521865890000003,0.9552964043000001,0.5034013605000001,0.703595724,0.6783284742,0.9620991254000001,0.703595724,0.7803692906,0.5014577259,0.9280855199,0.5014577259,0.5335276968
LSST,0.0502838605,0.5085158151,0.3122465531,0.34590429850000004,,,,,,,,,0.4253852393,0.5044606650000001,0.4517437145,0.4691808597,0.39821573400000004,0.5867802109,0.4655312247,0.44363341440000004
LargeKitchenAppliances,0.52,0.7706666667000001,0.5066666667,0.52,0.38933333330000003,0.432,0.3733333333,0.40800000000000003,0.3493333333,0.6666666667000001,0.34400000000000003,0.3493333333,0.496,0.5706666667,0.48,0.47200000000000003,0.2986666667,0.6880000000000001,0.32,0.3306666667
Libras,0.05,0.8277777778000001,0.0888888889,0.27222222220000003,0.0722222222,0.0666666667,0.044444444400000005,0.0833333333,0.09444444440000001,0.8666666667,0.1277777778,0.2388888889,0.3833333333,0.8055555556,0.5833333333,0.6888888889,0.1333333333,0.8666666667,0.2388888889,0.4388888889
Lightning2,0.5409836066,0.737704918,0.5573770492,0.5409836066,0.4426229508,0.8360655738,0.5901639344,0.5409836066,0.5409836066,0.7049180328,0.4590163934,0.4918032787,0.5409836066,0.7049180328,0.6393442623000001,0.7049180328,0.5409836066,0.6721311475,0.5901639344,0.6229508197
