dataset,CBoss_10,CBoss_100,CBoss_20,CBoss_30,PForest_10,PForest_100,PForest_20,PForest_30,ST_10,ST_100,ST_20,ST_30,TSF_10,TSF_100,TSF_20,TSF_30,WEASEL_10,WEASEL_100,WEASEL_20,WEASEL_30
DuckDuckGeese,,,,,,,,,,,,,0.8243902439024391,0.14942528735632188,0.6930232558139535,0.5836734693877551,,,,
ECG200,0.8273972602739725,0.7094017094017095,0.6987654320987655,0.5844680851063829,0.8444444444444444,0.8181818181818182,0.786046511627907,0.6143902439024391,0.8434782608695652,0.7543859649122807,0.8051282051282052,0.735925925925926,0.8714285714285714,0.7391304347826086,0.8352941176470587,0.8269767441860465,0.8384615384615384,0.7391304347826086,0.7066666666666666,0.5984090909090909
ECG5000,0.8268016676601191,0.8899622007956733,0.736260408783805,0.782616910758868,0.8392156862745097,0.43632301313234356,0.7301048066474503,0.6513186472308817,0.8596026489987281,0.8848167539464379,0.8515723270440252,0.8636519748405067,0.9149425287356322,0.8804847471006902,0.8889245585758858,0.8695652174321362,0.8377516778507654,0.8871880897067062,0.8044293015506327,0.7299389001767871
ECGFiveDays,0.8385148736289318,1.0,0.7147617460904703,0.6258196124244317,0.834780852353341,0.7411526794534424,0.7284595300348302,0.64471814305564,0.8334954289068695,0.9976798143568775,0.7360726985305736,0.6717517096179353,0.8404130485787038,0.8536060280497344,0.7358044163929951,0.6551951259510504,0.8355711629803565,0.9976798143568775,0.7199582027175129,0.6386878176370206
EOGHorizontalSignal,0.8194519075761955,0.3115942028581574,0.672147483807036,0.5655487804846924,0.8195043103456052,,0.6705653021416704,0.5446071904145801,0.8197167755988171,0.3092224231398448,0.6716122650855627,0.5655487804846924,0.8200999444754813,0.3457249070666988,0.6716122650855627,0.5622509960149666,0.8192963752664834,0.3139745916634662,0.6736146415856105,0.5531015037639312
EOGVerticalSignal,0.8199889563774491,0.2679509632210846,0.672690763051406,0.5564090254415931,,,,,0.8194519075761955,0.2397260274036287,0.6719681908577682,0.566820276491802,0.8197706171499735,0.29285714282943887,0.672147483807036,0.5651292448077113,0.8191940615053948,0.1888341543435873,0.6719681908577682,0.5482256596886721
ERing,0.8246575342469131,0.8120805369188326,0.6801851072747098,0.5929233361307407,0.8213438735186301,0.3399503722017868,0.6709973251776806,0.5504132231326275,,,,,0.8412213740445429,0.9081272085682178,0.7772990886658906,0.7906542055672285,0.825714285713551,0.9081272085682178,0.6952104499207425,0.627906976759762
Earthquakes,0.8568507157385157,0.5977011493628485,0.7770700636750943,0.7262059973635177,0.8568507157385157,0.6069364162453474,0.7770700636750943,0.7262059973635177,0.8409425625948208,0.47872340426790405,0.7770700636750943,0.7262059973635177,0.8568507157385157,0.5977011493628485,0.7770700636750943,0.7262059973635177,0.8568507157385157,0.5977011493628485,0.7742946708294572,0.7220077219820278
ElectricDevices,0.8290701400551411,0.543589230271124,0.700514892790221,0.6187556484814734,,,,,0.8277868867244715,0.23474779827235115,0.6958156006383192,0.566529606399256,0.8354765245805841,0.521507498035166,0.7213805045146926,0.6455815970606407,0.8403389919215285,0.623710254845854,0.7321451523106545,0.643691474449833
Epilepsy,0.9550561798310315,1.0,1.0,1.0,,,,,0.8543307086656953,0.9714285714736326,0.7950530035507997,0.8327526132253397,0.9112903225976977,0.9436619719185877,0.9607843137820838,0.9594594595199416,0.9746835443391764,1.0,1.0,1.0
